ID,Q1,Q2,Q3,Q4,TEXT,SCALE,TYPE
ID01,0.75,0.75,0.75,0.75,TEXT1,LS,AI
ID02,0.00,0.75,0.00,0.00,TEXT1,LS,AI
ID03,0.75,0.75,0.75,0.75,TEXT1,LS,AI
ID04,0.00,0.75,0.75,0.00,TEXT1,LS,AI
ID05,0.75,0.25,0.00,0.00,TEXT1,LS,AI
ID01,0.00,0.75,0.00,0.00,TEXT2,LS,AI
ID02,0.75,0.75,0.00,0.75,TEXT2,LS,AI
ID03,0.00,0.75,0.00,0.00,TEXT2,LS,AI
ID04,0.75,1.00,0.75,1.00,TEXT2,LS,AI
ID05,0.25,0.75,0.75,0.75,TEXT2,LS,AI
ID01,0.75,0.75,0.00,0.75,TEXT3,LS,AI
ID02,0.00,0.75,0.75,0.75,TEXT3,LS,AI
ID03,0.75,0.75,0.75,0.75,TEXT3,LS,AI
ID04,1.00,0.75,1.00,1.00,TEXT3,LS,AI
ID05,0.75,0.75,0.75,0.75,TEXT3,LS,AI
ID06,0.84,0.70,0.00,0.03,TEXT1,VAS,AI
ID07,0.74,0.25,0.00,0.10,TEXT1,VAS,AI
ID08,0.73,0.72,0.24,0.10,TEXT1,VAS,AI
ID09,0.68,0.36,0.00,0.01,TEXT1,VAS,AI
ID10,0.76,0.69,0.10,0.00,TEXT1,VAS,AI
ID06,0.75,0.65,0.86,0.60,TEXT2,VAS,AI
ID07,0.41,0.70,0.50,0.10,TEXT2,VAS,AI
ID08,0.89,0.84,0.50,0.20,TEXT2,VAS,AI
ID09,0.76,0.32,0.20,0.20,TEXT2,VAS,AI
ID10,0.15,0.75,0.35,0.10,TEXT2,VAS,AI
ID06,0.80,0.88,0.20,0.20,TEXT3,VAS,AI
ID07,0.84,0.85,0.00,0.05,TEXT3,VAS,AI
ID08,0.96,0.94,0.00,0.40,TEXT3,VAS,AI
ID09,0.85,0.85,0.00,0.10,TEXT3,VAS,AI
ID10,0.74,0.30,0.20,0.20,TEXT3,VAS,AI
ID11,0.00,0.00,1.00,0.00,TEXT1,LS,HM
ID12,0.75,0.75,0.00,0.00,TEXT1,LS,HM
ID13,0.25,0.00,0.00,0.00,TEXT1,LS,HM
ID14,1.00,0.25,1.00,0.00,TEXT1,LS,HM
ID15,0.50,0.75,0.00,0.00,TEXT1,LS,HM
ID16,0.50,0.50,0.50,0.50,TEXT1,LS,HM
ID17,1.00,0.00,0.00,0.00,TEXT1,LS,HM
ID18,1.00,0.75,0.00,0.00,TEXT1,LS,HM
ID19,0.75,0.25,0.00,0.00,TEXT1,LS,HM
ID20,0.50,0.00,0.00,0.00,TEXT1,LS,HM
ID21,0.75,0.25,0.00,0.00,TEXT1,LS,HM
ID22,0.75,0.00,0.00,0.00,TEXT1,LS,HM
ID23,0.50,0.00,0.00,0.00,TEXT1,LS,HM
ID24,0.75,0.25,0.00,0.00,TEXT1,LS,HM
ID25,0.75,0.75,0.00,0.00,TEXT1,LS,HM
ID26,0.75,0.00,0.00,0.00,TEXT1,LS,HM
ID27,0.75,0.50,0.50,0.25,TEXT1,LS,HM
ID28,0.00,0.00,0.00,0.00,TEXT1,LS,HM
ID29,0.25,0.00,0.00,0.00,TEXT1,LS,HM
ID30,0.50,0.50,0.00,0.50,TEXT1,LS,HM
ID31,0.00,0.00,0.00,0.00,TEXT1,LS,HM
ID32,0.50,0.25,0.00,0.00,TEXT1,LS,HM
ID11,0.00,0.00,0.75,0.25,TEXT2,LS,HM
ID12,0.75,0.75,0.75,0.50,TEXT2,LS,HM
ID13,0.50,0.75,0.00,0.00,TEXT2,LS,HM
ID14,1.00,0.00,0.00,0.00,TEXT2,LS,HM
ID15,0.50,0.50,0.50,0.50,TEXT2,LS,HM
ID16,0.50,0.50,0.50,0.50,TEXT2,LS,HM
ID17,0.75,0.00,0.25,0.00,TEXT2,LS,HM
ID18,0.75,1.00,0.50,0.00,TEXT2,LS,HM
ID19,0.50,0.00,0.50,0.00,TEXT2,LS,HM
ID20,0.25,0.00,0.00,0.00,TEXT2,LS,HM
ID21,0.50,0.00,0.00,0.00,TEXT2,LS,HM
ID22,0.50,0.00,0.00,0.00,TEXT2,LS,HM
ID23,0.25,1.00,1.00,1.00,TEXT2,LS,HM
ID24,0.25,0.00,0.75,0.00,TEXT2,LS,HM
ID25,0.00,0.00,0.00,0.00,TEXT2,LS,HM
ID26,0.00,0.00,0.00,0.00,TEXT2,LS,HM
ID27,0.25,0.50,0.75,0.25,TEXT2,LS,HM
ID28,0.00,0.00,0.00,0.00,TEXT2,LS,HM
ID29,0.00,0.00,0.00,0.00,TEXT2,LS,HM
ID30,0.75,0.50,0.00,0.00,TEXT2,LS,HM
ID31,0.00,0.00,0.00,0.00,TEXT2,LS,HM
ID32,0.50,0.50,0.75,0.50,TEXT2,LS,HM
ID11,0.75,0.00,0.00,0.50,TEXT3,LS,HM
ID12,1.00,1.00,0.00,0.00,TEXT3,LS,HM
ID13,0.75,0.50,0.00,0.00,TEXT3,LS,HM
ID14,0.25,0.00,0.00,0.75,TEXT3,LS,HM
ID15,0.75,0.75,0.00,0.00,TEXT3,LS,HM
ID16,1.00,0.50,0.50,0.50,TEXT3,LS,HM
ID17,1.00,0.75,0.00,0.00,TEXT3,LS,HM
ID18,1.00,1.00,0.00,0.00,TEXT3,LS,HM
ID19,1.00,0.25,0.00,0.00,TEXT3,LS,HM
ID20,0.75,1.00,0.00,0.00,TEXT3,LS,HM
ID21,0.75,0.50,0.00,0.00,TEXT3,LS,HM
ID22,1.00,0.00,0.00,0.00,TEXT3,LS,HM
ID23,0.75,0.25,0.00,0.00,TEXT3,LS,HM
ID24,0.00,0.75,0.00,0.00,TEXT3,LS,HM
ID25,1.00,1.00,0.00,0.00,TEXT3,LS,HM
ID26,1.00,0.75,0.00,0.00,TEXT3,LS,HM
ID27,0.75,0.75,0.50,0.50,TEXT3,LS,HM
ID28,0.75,0.75,0.00,0.00,TEXT3,LS,HM
ID29,0.00,0.00,0.00,0.00,TEXT3,LS,HM
ID30,0.75,0.00,0.00,0.00,TEXT3,LS,HM
ID31,0.00,0.00,0.00,0.00,TEXT3,LS,HM
ID32,0.75,0.75,0.25,0.00,TEXT3,LS,HM
ID33,0.17,0.00,0.00,0.00,TEXT1,VAS,HM
